,city,max_checkins,locations,total_checkins,UHS,latitude,longitude,text,city_without_state,city_y,population,text2
112,"Greenville, North Carolina",430391,229,1100670,85.31676160883825,34.85262,-82.39401,UHS : 85.31676160883825<br>Checkins :1.10067 million<br>Locations : 229,Greenville,Greenville,0.08913,"City : Greenville, North Carolina<br>UHS : 85.31676160883825<br>Population :0.08913 million"
114,"Lake Forest, California",194817,264,400717,85.29810315010344,33.64697,-117.68921999999999,UHS : 85.29810315010344<br>Checkins :0.400717 million<br>Locations : 264,Lake Forest,Lake Forest,0.079312,"City : Lake Forest, California<br>UHS : 85.29810315010344<br>Population :0.079312 million"
115,"Houston, Texas",12240654,399,26226834,85.25328676728576,29.763279999999998,-95.36327,UHS : 85.25328676728576<br>Checkins :26.226834 million<br>Locations : 399,Houston,Houston,2.195914,"City : Houston, Texas<br>UHS : 85.25328676728576<br>Population :2.195914 million"
116,"Redding, California",444494,313,1057254,85.18255783378449,40.58654,-122.39168000000001,UHS : 85.18255783378449<br>Checkins :1.057254 million<br>Locations : 313,Redding,Redding,0.091119,"City : Redding, California<br>UHS : 85.18255783378449<br>Population :0.091119 million"
117,"Jonesboro, Arkansas",295277,236,586550,85.02020288125479,35.8423,-90.70428000000001,UHS : 85.02020288125479<br>Checkins :0.58655 million<br>Locations : 236,Jonesboro,Jonesboro,0.071551,"City : Jonesboro, Arkansas<br>UHS : 85.02020288125479<br>Population :0.071551 million"
118,"Mount Pleasant, South Carolina",273903,294,639737,84.95881901468884,43.597809999999996,-84.76751,UHS : 84.95881901468884<br>Checkins :0.639737 million<br>Locations : 294,Mount Pleasant,Mount Pleasant,0.074885,"City : Mount Pleasant, South Carolina<br>UHS : 84.95881901468884<br>Population :0.074885 million"
119,"Kent, Washington",344631,297,1025792,84.93369026079361,39.15817,-75.52436999999999,UHS : 84.93369026079361<br>Checkins :1.025792 million<br>Locations : 297,Kent,Kent,0.124435,"City : Kent, Washington<br>UHS : 84.93369026079361<br>Population :0.124435 million"
120,"Greeley, Colorado",337153,334,757734,84.92782427606521,41.567440000000005,-98.52124,UHS : 84.92782427606521<br>Checkins :0.757734 million<br>Locations : 334,Greeley,Greeley,0.096539,"City : Greeley, Colorado<br>UHS : 84.92782427606521<br>Population :0.096539 million"
121,"Las Cruces, New Mexico",567202,326,1260600,84.92146596858639,32.31232,-106.77833999999999,UHS : 84.92146596858639<br>Checkins :1.2606 million<br>Locations : 326,Las Cruces,Las Cruces,0.101324,"City : Las Cruces, New Mexico<br>UHS : 84.92146596858639<br>Population :0.101324 million"
122,"Aurora, Illinois",369276,293,1153725,84.87915231099265,39.72943,-104.83192,UHS : 84.87915231099265<br>Checkins :1.153725 million<br>Locations : 293,Aurora,Aurora,0.345803,"City : Aurora, Illinois<br>UHS : 84.87915231099265<br>Population :0.345803 million"
124,"Palm Bay, Florida",13429,287,99141,84.85086896440424,28.03446,-80.58866,UHS : 84.85086896440424<br>Checkins :0.099141 million<br>Locations : 287,Palm Bay,Palm Bay,0.104898,"City : Palm Bay, Florida<br>UHS : 84.85086896440424<br>Population :0.104898 million"
125,"Odessa, Texas",503465,353,1093353,84.84414457178971,31.845679999999998,-102.36764000000001,UHS : 84.84414457178971<br>Checkins :1.093353 million<br>Locations : 353,Odessa,Odessa,0.11072,"City : Odessa, Texas<br>UHS : 84.84414457178971<br>Population :0.11072 million"
