,city,max_checkins,locations,total_checkins,UHS,latitude,longitude,text,city_without_state,city_y,population,text2
281,"Augusta-Richmond County, Georgia",60714,281,439316,80.28958653907438,33.47097,-81.97484,UHS : 80.28958653907438<br>Checkins :0.439316 million<br>Locations : 281,Augusta-Richmond County,Augusta-Richmond County,0.19735,"City : Augusta-Richmond County, Georgia<br>UHS : 80.28958653907438<br>Population :0.19735 million"
282,"Tallahassee, Florida",1417747,356,3247000,80.28530951647674,30.438259999999996,-84.28073,UHS : 80.28530951647674<br>Checkins :3.247 million<br>Locations : 356,Tallahassee,Tallahassee,0.186411,"City : Tallahassee, Florida<br>UHS : 80.28530951647674<br>Population :0.186411 million"
283,"Pomona, California",498626,264,1418179,80.23077481756535,34.05529,-117.75228,UHS : 80.23077481756535<br>Checkins :1.418179 million<br>Locations : 264,Pomona,Pomona,0.151348,"City : Pomona, California<br>UHS : 80.23077481756535<br>Population :0.151348 million"
284,"Berkeley, California",989033,334,3548899,80.18788362249813,37.871590000000005,-122.27275,UHS : 80.18788362249813<br>Checkins :3.548899 million<br>Locations : 334,Berkeley,Berkeley,0.116768,"City : Berkeley, California<br>UHS : 80.18788362249813<br>Population :0.116768 million"
285,"Auburn, Washington",240811,347,964986,80.17463465791214,47.307320000000004,-122.22845,UHS : 80.17463465791214<br>Checkins :0.964986 million<br>Locations : 347,Auburn,Auburn,0.07486,"City : Auburn, Washington<br>UHS : 80.17463465791214<br>Population :0.07486 million"
287,"Concord, California",374797,330,1516921,80.11682876036392,43.20814,-71.53757,UHS : 80.11682876036392<br>Checkins :1.516921 million<br>Locations : 330,Concord,Concord,0.12588,"City : Concord, California<br>UHS : 80.11682876036392<br>Population :0.12588 million"
290,"Livermore, California",332194,366,1397722,80.11113798022784,37.68187,-121.76801,UHS : 80.11113798022784<br>Checkins :1.397722 million<br>Locations : 366,Livermore,Livermore,0.085156,"City : Livermore, California<br>UHS : 80.11113798022784<br>Population :0.085156 million"
291,"Tracy, California",307274,315,758731,80.08187354938707,37.73987,-121.42618,UHS : 80.08187354938707<br>Checkins :0.758731 million<br>Locations : 315,Tracy,Tracy,0.084691,"City : Tracy, California<br>UHS : 80.08187354938707<br>Population :0.084691 million"
292,"Baldwin Park, California",212711,292,878059,80.02639913718782,34.08529,-117.9609,UHS : 80.02639913718782<br>Checkins :0.878059 million<br>Locations : 292,Baldwin Park,Baldwin Park,0.076635,"City : Baldwin Park, California<br>UHS : 80.02639913718782<br>Population :0.076635 million"
293,"Flagstaff, Arizona",1189954,350,2580932,79.86297198066435,35.19807,-111.65127,UHS : 79.86297198066435<br>Checkins :2.580932 million<br>Locations : 350,Flagstaff,Flagstaff,0.068667,"City : Flagstaff, Arizona<br>UHS : 79.86297198066435<br>Population :0.068667 million"
294,"Tulsa, Oklahoma",1585195,317,4918266,79.84932087853728,36.15398,-95.99277,UHS : 79.84932087853728<br>Checkins :4.918266 million<br>Locations : 317,Tulsa,Tulsa,0.398121,"City : Tulsa, Oklahoma<br>UHS : 79.84932087853728<br>Population :0.398121 million"
295,"Roanoke, Virginia",550582,338,1658262,79.82387584109145,37.27097,-79.94143000000001,UHS : 79.82387584109145<br>Checkins :1.658262 million<br>Locations : 338,Roanoke,Roanoke,0.098465,"City : Roanoke, Virginia<br>UHS : 79.82387584109145<br>Population :0.098465 million"
296,"College Station, Texas",755446,397,2307805,79.81514902688919,30.627979999999997,-96.33440999999999,UHS : 79.81514902688919<br>Checkins :2.307805 million<br>Locations : 397,College Station,College Station,0.10005,"City : College Station, Texas<br>UHS : 79.81514902688919<br>Population :0.10005 million"
297,"Santa Ana, California",868719,283,2460169,79.76533319458949,33.74557,-117.86783,UHS : 79.76533319458949<br>Checkins :2.460169 million<br>Locations : 283,Santa Ana,Santa Ana,0.334227,"City : Santa Ana, California<br>UHS : 79.76533319458949<br>Population :0.334227 million"
298,"Santa Maria, California",371933,345,1219062,79.75131699618231,34.95303,-120.43571999999999,UHS : 79.75131699618231<br>Checkins :1.219062 million<br>Locations : 345,Santa Maria,Santa Maria,0.102216,"City : Santa Maria, California<br>UHS : 79.75131699618231<br>Population :0.102216 million"
299,"Bloomington, Illinois",272118,260,996955,79.6905577483437,39.16533,-86.52639,UHS : 79.6905577483437<br>Checkins :0.996955 million<br>Locations : 260,Bloomington,Bloomington,0.086319,"City : Bloomington, Illinois<br>UHS : 79.6905577483437<br>Population :0.086319 million"
302,"Chino Hills, California",263183,368,1581742,79.6769005311865,33.9938,-117.75888,UHS : 79.6769005311865<br>Checkins :1.581742 million<br>Locations : 368,Chino Hills,Chino Hills,0.076572,"City : Chino Hills, California<br>UHS : 79.6769005311865<br>Population :0.076572 million"
303,"Fairfield, California",336114,372,1378450,79.65889223403097,41.05343,-73.53873,UHS : 79.65889223403097<br>Checkins :1.37845 million<br>Locations : 372,Fairfield,Fairfield,0.10932,"City : Fairfield, California<br>UHS : 79.65889223403097<br>Population :0.10932 million"
305,"Evanston, Illinois",354762,355,1513915,79.64390338955621,42.041140000000006,-87.69006,UHS : 79.64390338955621<br>Checkins :1.513915 million<br>Locations : 355,Evanston,Evanston,0.07557,"City : Evanston, Illinois<br>UHS : 79.64390338955621<br>Population :0.07557 million"
306,"Fort Wayne, Indiana",773657,301,1999019,79.61219978399406,41.1306,-85.12886,UHS : 79.61219978399406<br>Checkins :1.999019 million<br>Locations : 301,Fort Wayne,Fort Wayne,0.256496,"City : Fort Wayne, Indiana<br>UHS : 79.61219978399406<br>Population :0.256496 million"
307,"Somerville, Massachusetts",1256806,341,4231092,79.6105118962197,42.3876,-71.0995,UHS : 79.6105118962197<br>Checkins :4.231092 million<br>Locations : 341,Somerville,Somerville,0.078804,"City : Somerville, Massachusetts<br>UHS : 79.6105118962197<br>Population :0.078804 million"
308,"Green Bay, Wisconsin",576515,277,1366700,79.56281554108436,44.51916,-88.01983,UHS : 79.56281554108436<br>Checkins :1.3667 million<br>Locations : 277,Green Bay,Green Bay,0.104779,"City : Green Bay, Wisconsin<br>UHS : 79.56281554108436<br>Population :0.104779 million"
309,"St. Joseph, Missouri",197163,338,517162,79.54316055704015,39.768609999999995,-94.84663,UHS : 79.54316055704015<br>Checkins :0.517162 million<br>Locations : 338,St. Joseph,St. Joseph,0.077147,"City : St. Joseph, Missouri<br>UHS : 79.54316055704015<br>Population :0.077147 million"
310,"Pittsburgh, Pennsylvania",2875925,389,12055742,79.52734058177423,40.44062,-79.99589,UHS : 79.52734058177423<br>Checkins :12.055742 million<br>Locations : 389,Pittsburgh,Pittsburgh,0.305841,"City : Pittsburgh, Pennsylvania<br>UHS : 79.52734058177423<br>Population :0.305841 million"
311,"Columbia, Missouri",653165,361,1859474,79.51216311709656,34.00071,-81.03481,UHS : 79.51216311709656<br>Checkins :1.859474 million<br>Locations : 361,Columbia,Columbia,0.133358,"City : Columbia, Missouri<br>UHS : 79.51216311709656<br>Population :0.133358 million"
313,"New Britain, Connecticut",183254,287,565062,79.4735798903483,41.66121,-72.77954,UHS : 79.4735798903483<br>Checkins :0.565062 million<br>Locations : 287,New Britain,New Britain,0.072939,"City : New Britain, Connecticut<br>UHS : 79.4735798903483<br>Population :0.072939 million"
314,"Chino, California",273465,314,793493,79.46585540137092,34.012229999999995,-117.68893999999999,UHS : 79.46585540137092<br>Checkins :0.793493 million<br>Locations : 314,Chino,Chino,0.080988,"City : Chino, California<br>UHS : 79.46585540137092<br>Population :0.080988 million"
315,"Peoria, Illinois",249889,329,1306262,79.31900338523205,40.69365,-89.58899,UHS : 79.31900338523205<br>Checkins :1.306262 million<br>Locations : 329,Peoria,Peoria,0.162592,"City : Peoria, Illinois<br>UHS : 79.31900338523205<br>Population :0.162592 million"
317,"Centennial, Colorado",152902,355,1339659,79.31884158580654,39.579159999999995,-104.87692,UHS : 79.31884158580654<br>Checkins :1.339659 million<br>Locations : 355,Centennial,Centennial,0.106114,"City : Centennial, Colorado<br>UHS : 79.31884158580654<br>Population :0.106114 million"
318,"Bethlehem, Pennsylvania",406905,350,2058034,79.26010940538397,40.62593,-75.37046,UHS : 79.26010940538397<br>Checkins :2.058034 million<br>Locations : 350,Bethlehem,Bethlehem,0.075018,"City : Bethlehem, Pennsylvania<br>UHS : 79.26010940538397<br>Population :0.075018 million"
319,"Whittier, California",513281,293,1664816,79.25620609124373,33.97918,-118.03284,UHS : 79.25620609124373<br>Checkins :1.664816 million<br>Locations : 293,Whittier,Whittier,0.086635,"City : Whittier, California<br>UHS : 79.25620609124373<br>Population :0.086635 million"
320,"Springfield, Missouri",1010508,317,2818893,79.22968342537301,39.80172,-89.64371,UHS : 79.22968342537301<br>Checkins :2.818893 million<br>Locations : 317,Springfield,Springfield,0.164122,"City : Springfield, Missouri<br>UHS : 79.22968342537301<br>Population :0.164122 million"
325,"Merced, California",266307,375,1361378,79.16471398832653,37.30216,-120.48297,UHS : 79.16471398832653<br>Checkins :1.361378 million<br>Locations : 375,Merced,Merced,0.081102,"City : Merced, California<br>UHS : 79.16471398832653<br>Population :0.081102 million"
326,"Manteca, California",223648,356,959727,79.14854953544081,37.79743,-121.21605,UHS : 79.14854953544081<br>Checkins :0.959727 million<br>Locations : 356,Manteca,Manteca,0.071948,"City : Manteca, California<br>UHS : 79.14854953544081<br>Population :0.071948 million"
327,"Norwalk, Connecticut",269716,374,1077232,79.09141206351093,41.1176,-73.4079,UHS : 79.09141206351093<br>Checkins :1.077232 million<br>Locations : 374,Norwalk,Norwalk,0.106589,"City : Norwalk, Connecticut<br>UHS : 79.09141206351093<br>Population :0.106589 million"
329,"Salinas, California",546163,313,1549108,79.0574963140078,18.01746,-66.25378,UHS : 79.0574963140078<br>Checkins :1.549108 million<br>Locations : 313,Salinas,Salinas,0.155662,"City : Salinas, California<br>UHS : 79.0574963140078<br>Population :0.155662 million"
330,"Turlock, California",193031,343,748322,79.05380304200598,37.494659999999996,-120.84658999999999,UHS : 79.05380304200598<br>Checkins :0.748322 million<br>Locations : 343,Turlock,Turlock,0.070365,"City : Turlock, California<br>UHS : 79.05380304200598<br>Population :0.070365 million"
331,"Nashua, New Hampshire",276148,271,765623,78.961708308136,42.765370000000004,-71.46757,UHS : 78.961708308136<br>Checkins :0.765623 million<br>Locations : 271,Nashua,Nashua,0.087137,"City : Nashua, New Hampshire<br>UHS : 78.961708308136<br>Population :0.087137 million"
332,"Vista, California",291719,361,989388,78.96083235292929,32.64005,-117.0842,UHS : 78.96083235292929<br>Checkins :0.989388 million<br>Locations : 361,Vista,Vista,0.096929,"City : Vista, California<br>UHS : 78.96083235292929<br>Population :0.096929 million"
333,"Pharr, Texas",358314,364,1499426,78.93987432524179,26.1948,-98.18361999999999,UHS : 78.93987432524179<br>Checkins :1.499426 million<br>Locations : 364,Pharr,Pharr,0.07379,"City : Pharr, Texas<br>UHS : 78.93987432524179<br>Population :0.07379 million"
334,"Wichita, Kansas",1173036,330,2964038,78.90023677159334,33.913709999999995,-98.49339,UHS : 78.90023677159334<br>Checkins :2.964038 million<br>Locations : 330,Wichita,Wichita,0.386552,"City : Wichita, Kansas<br>UHS : 78.90023677159334<br>Population :0.386552 million"
335,"Tuscaloosa, Alabama",454196,337,1295506,78.87566711385358,33.20984,-87.56917,UHS : 78.87566711385358<br>Checkins :1.295506 million<br>Locations : 337,Tuscaloosa,Tuscaloosa,0.095334,"City : Tuscaloosa, Alabama<br>UHS : 78.87566711385358<br>Population :0.095334 million"
336,"Kirkland, Washington",296545,197,784020,78.82247901839239,47.681490000000004,-122.20873999999999,UHS : 78.82247901839239<br>Checkins :0.78402 million<br>Locations : 197,Kirkland,Kirkland,0.08443,"City : Kirkland, Washington<br>UHS : 78.82247901839239<br>Population :0.08443 million"
337,"West Palm Beach, Florida",1444458,346,5470920,78.80643474954853,26.71534,-80.05337,UHS : 78.80643474954853<br>Checkins :5.47092 million<br>Locations : 346,West Palm Beach,West Palm Beach,0.102436,"City : West Palm Beach, Florida<br>UHS : 78.80643474954853<br>Population :0.102436 million"
338,"Napa, California",766348,369,2669649,78.78151772011977,38.29714,-122.28553000000001,UHS : 78.78151772011977<br>Checkins :2.669649 million<br>Locations : 369,Napa,Napa,0.079068,"City : Napa, California<br>UHS : 78.78151772011977<br>Population :0.079068 million"
339,"Westland, Michigan",68243,361,713818,78.69583002950333,42.3242,-83.40021,UHS : 78.69583002950333<br>Checkins :0.713818 million<br>Locations : 361,Westland,Westland,0.082578,"City : Westland, Michigan<br>UHS : 78.69583002950333<br>Population :0.082578 million"
340,"Wichita Falls, Texas",384158,290,801286,78.59453428613504,33.913709999999995,-98.49339,UHS : 78.59453428613504<br>Checkins :0.801286 million<br>Locations : 290,Wichita Falls,Wichita Falls,0.104898,"City : Wichita Falls, Texas<br>UHS : 78.59453428613504<br>Population :0.104898 million"
341,"Miramar, Florida",105764,277,377835,78.57821535855598,25.98731,-80.23227,UHS : 78.57821535855598<br>Checkins :0.377835 million<br>Locations : 277,Miramar,Miramar,0.130288,"City : Miramar, Florida<br>UHS : 78.57821535855598<br>Population :0.130288 million"
342,"Sacramento, California",2737047,332,12827439,78.47939873266986,38.58157,-121.4944,UHS : 78.47939873266986<br>Checkins :12.827439 million<br>Locations : 332,Sacramento,Sacramento,0.479686,"City : Sacramento, California<br>UHS : 78.47939873266986<br>Population :0.479686 million"
343,"Cape Coral, Florida",97614,263,659761,78.44901411268627,26.56285,-81.94953000000001,UHS : 78.44901411268627<br>Checkins :0.659761 million<br>Locations : 263,Cape Coral,Cape Coral,0.165831,"City : Cape Coral, Florida<br>UHS : 78.44901411268627<br>Population :0.165831 million"
344,"Kansas City, Missouri",2393430,345,7562014,78.44849268991038,39.09973,-94.57857,UHS : 78.44849268991038<br>Checkins :7.562014 million<br>Locations : 345,Kansas City,Kansas City,0.467007,"City : Kansas City, Missouri<br>UHS : 78.44849268991038<br>Population :0.467007 million"
346,"Kalamazoo, Michigan",520664,351,1775402,78.44606460959265,42.291709999999995,-85.58723,UHS : 78.44606460959265<br>Checkins :1.775402 million<br>Locations : 351,Kalamazoo,Kalamazoo,0.075548,"City : Kalamazoo, Michigan<br>UHS : 78.44606460959265<br>Population :0.075548 million"
347,"Winston-Salem, North Carolina",873276,334,2015461,78.42319945660074,36.09986,-80.24422,UHS : 78.42319945660074<br>Checkins :2.015461 million<br>Locations : 334,Winston-Salem,Winston-Salem,0.236441,"City : Winston-Salem, North Carolina<br>UHS : 78.42319945660074<br>Population :0.236441 million"
348,"Escondido, California",458666,388,1755833,78.29024742102466,33.119209999999995,-117.08641999999999,UHS : 78.29024742102466<br>Checkins :1.755833 million<br>Locations : 388,Escondido,Escondido,0.148738,"City : Escondido, California<br>UHS : 78.29024742102466<br>Population :0.148738 million"
349,"Cleveland, Ohio",2512041,296,10307481,78.26057598359871,41.4995,-81.69541,UHS : 78.26057598359871<br>Checkins :10.307481 million<br>Locations : 296,Cleveland,Cleveland,0.390113,"City : Cleveland, Ohio<br>UHS : 78.26057598359871<br>Population :0.390113 million"
351,"Indianapolis, Indiana",3521778,359,11805113,78.12723181895845,39.76838,-86.15804,UHS : 78.12723181895845<br>Checkins :11.805113 million<br>Locations : 359,Indianapolis,Indianapolis,0.843393,"City : Indianapolis, Indiana<br>UHS : 78.12723181895845<br>Population :0.843393 million"
352,"Missoula, Montana",526955,229,1174881,78.0761626071066,46.87215,-113.994,UHS : 78.0761626071066<br>Checkins :1.174881 million<br>Locations : 229,Missoula,Missoula,0.069122,"City : Missoula, Montana<br>UHS : 78.0761626071066<br>Population :0.069122 million"
353,"Bolingbrook, Illinois",56709,330,414113,78.07337610748758,41.698640000000005,-88.0684,UHS : 78.07337610748758<br>Checkins :0.414113 million<br>Locations : 330,Bolingbrook,Bolingbrook,0.073936,"City : Bolingbrook, Illinois<br>UHS : 78.07337610748758<br>Population :0.073936 million"
354,"Brownsville, Texas",704601,278,2060154,78.06299917384817,25.90175,-97.49748000000001,UHS : 78.06299917384817<br>Checkins :2.060154 million<br>Locations : 278,Brownsville,Brownsville,0.18186,"City : Brownsville, Texas<br>UHS : 78.06299917384817<br>Population :0.18186 million"
355,"Oklahoma City, Oklahoma",2296808,338,7369632,78.02719321670337,35.46756,-97.51643,UHS : 78.02719321670337<br>Checkins :7.369632 million<br>Locations : 338,Oklahoma City,Oklahoma City,0.610613,"City : Oklahoma City, Oklahoma<br>UHS : 78.02719321670337<br>Population :0.610613 million"
356,"Denton, Texas",618386,383,2373894,78.0128767333335,33.21484,-97.13306999999999,UHS : 78.0128767333335<br>Checkins :2.373894 million<br>Locations : 383,Denton,Denton,0.123099,"City : Denton, Texas<br>UHS : 78.0128767333335<br>Population :0.123099 million"
357,"Columbus, Ohio",3330358,342,9417771,77.9996349454664,39.96118,-82.99879,UHS : 77.9996349454664<br>Checkins :9.417771 million<br>Locations : 342,Columbus,Columbus,0.822553,"City : Columbus, Ohio<br>UHS : 77.9996349454664<br>Population :0.822553 million"
360,"Dallas, Texas",8450747,340,21644138,77.96025880078939,32.78306,-96.80667,UHS : 77.96025880078939<br>Checkins :21.644138 million<br>Locations : 340,Dallas,Dallas,1.257676,"City : Dallas, Texas<br>UHS : 77.96025880078939<br>Population :1.257676 million"
361,"Lansing, Michigan",90302,350,1116863,77.94545973857134,42.73253,-84.55553,UHS : 77.94545973857134<br>Checkins :1.116863 million<br>Locations : 350,Lansing,Lansing,0.113972,"City : Lansing, Michigan<br>UHS : 77.94545973857134<br>Population :0.113972 million"
362,"Tucson, Arizona",213351,336,1101241,77.90456403275941,32.221740000000004,-110.92648,UHS : 77.90456403275941<br>Checkins :1.101241 million<br>Locations : 336,Tucson,Tucson,0.526116,"City : Tucson, Arizona<br>UHS : 77.90456403275941<br>Population :0.526116 million"
363,"Norfolk, Virginia",1103583,312,3810996,77.86161412921976,36.84681,-76.28522,UHS : 77.86161412921976<br>Checkins :3.810996 million<br>Locations : 312,Norfolk,Norfolk,0.246139,"City : Norfolk, Virginia<br>UHS : 77.86161412921976<br>Population :0.246139 million"
364,"Ogden, Utah",386708,292,1105978,77.84133138272192,41.223,-111.97383,UHS : 77.84133138272192<br>Checkins :1.105978 million<br>Locations : 292,Ogden,Ogden,0.084249,"City : Ogden, Utah<br>UHS : 77.84133138272192<br>Population :0.084249 million"
365,"Elgin, Illinois",236650,255,719572,77.82056555841528,42.03725,-88.28119000000001,UHS : 77.82056555841528<br>Checkins :0.719572 million<br>Locations : 255,Elgin,Elgin,0.110145,"City : Elgin, Illinois<br>UHS : 77.82056555841528<br>Population :0.110145 million"
366,"Westminster, California",243292,313,1499120,77.63794759592294,39.83665,-105.0372,UHS : 77.63794759592294<br>Checkins :1.49912 million<br>Locations : 313,Westminster,Westminster,0.110945,"City : Westminster, California<br>UHS : 77.63794759592294<br>Population :0.110945 million"
368,"Norwalk, California",272569,352,1299660,77.55643783758829,41.1176,-73.4079,UHS : 77.55643783758829<br>Checkins :1.29966 million<br>Locations : 352,Norwalk,Norwalk,0.106589,"City : Norwalk, California<br>UHS : 77.55643783758829<br>Population :0.106589 million"
370,"Cedar Rapids, Iowa",449523,343,1461901,77.54307576231221,42.00833,-91.64407,UHS : 77.54307576231221<br>Checkins :1.461901 million<br>Locations : 343,Cedar Rapids,Cedar Rapids,0.128429,"City : Cedar Rapids, Iowa<br>UHS : 77.54307576231221<br>Population :0.128429 million"
371,"Boise City, Idaho",1109592,289,2720648,77.51645931410458,43.6135,-116.20345,UHS : 77.51645931410458<br>Checkins :2.720648 million<br>Locations : 289,Boise City,Boise City,0.214237,"City : Boise City, Idaho<br>UHS : 77.51645931410458<br>Population :0.214237 million"
372,"Buffalo, New York",780295,344,4139051,77.49372984290358,42.88645,-78.87836999999999,UHS : 77.49372984290358<br>Checkins :4.139051 million<br>Locations : 344,Buffalo,Buffalo,0.258959,"City : Buffalo, New York<br>UHS : 77.49372984290358<br>Population :0.258959 million"
373,"Paterson, New Jersey",529635,354,1431978,77.45838274051697,40.91677,-74.17181,UHS : 77.45838274051697<br>Checkins :1.431978 million<br>Locations : 354,Paterson,Paterson,0.145948,"City : Paterson, New Jersey<br>UHS : 77.45838274051697<br>Population :0.145948 million"
374,"Fort Lauderdale, Florida",2323709,299,5718103,77.45243483721787,26.12231,-80.14338000000001,UHS : 77.45243483721787<br>Checkins :5.718103 million<br>Locations : 299,Fort Lauderdale,Fort Lauderdale,0.172389,"City : Fort Lauderdale, Florida<br>UHS : 77.45243483721787<br>Population :0.172389 million"
375,"New Rochelle, New York",247857,337,1115622,77.4137655944397,40.91149,-73.78235,UHS : 77.4137655944397<br>Checkins :1.115622 million<br>Locations : 337,New Rochelle,New Rochelle,0.079446,"City : New Rochelle, New York<br>UHS : 77.4137655944397<br>Population :0.079446 million"
376,"Erie, Pennsylvania",544217,310,1335926,77.37569296502951,42.129220000000004,-80.08506,UHS : 77.37569296502951<br>Checkins :1.335926 million<br>Locations : 310,Erie,Erie,0.100671,"City : Erie, Pennsylvania<br>UHS : 77.37569296502951<br>Population :0.100671 million"
377,"Lexington-Fayette, Kentucky",1383091,339,4211425,77.37426168102246,37.988690000000005,-84.47771999999999,UHS : 77.37426168102246<br>Checkins :4.211425 million<br>Locations : 339,Lexington-Fayette,Lexington-Fayette,0.308428,"City : Lexington-Fayette, Kentucky<br>UHS : 77.37426168102246<br>Population :0.308428 million"
378,"Lawrence, Massachusetts",230498,361,766517,77.3634505170792,38.97167,-95.23525,UHS : 77.3634505170792<br>Checkins :0.766517 million<br>Locations : 361,Lawrence,Lawrence,0.090811,"City : Lawrence, Massachusetts<br>UHS : 77.3634505170792<br>Population :0.090811 million"
381,"Richardson, Texas",335764,350,1441053,77.29563034808574,32.94818,-96.72972,UHS : 77.29563034808574<br>Checkins :1.441053 million<br>Locations : 350,Richardson,Richardson,0.104475,"City : Richardson, Texas<br>UHS : 77.29563034808574<br>Population :0.104475 million"
382,"Dearborn, Michigan",56684,311,354948,77.29413885977664,42.32226,-83.17631,UHS : 77.29413885977664<br>Checkins :0.354948 million<br>Locations : 311,Dearborn,Dearborn,0.095884,"City : Dearborn, Michigan<br>UHS : 77.29413885977664<br>Population :0.095884 million"
383,"Santa Rosa, California",688183,366,2210362,77.27073664856707,30.632409999999997,-87.03969000000001,UHS : 77.27073664856707<br>Checkins :2.210362 million<br>Locations : 366,Santa Rosa,Santa Rosa,0.17199,"City : Santa Rosa, California<br>UHS : 77.27073664856707<br>Population :0.17199 million"
384,"Vallejo, California",457275,300,996794,77.17101025889,38.10409,-122.25663999999999,UHS : 77.17101025889<br>Checkins :0.996794 million<br>Locations : 300,Vallejo,Vallejo,0.118837,"City : Vallejo, California<br>UHS : 77.17101025889<br>Population :0.118837 million"
385,"Salt Lake City, Utah",2413080,339,7694338,77.13720140706062,40.76078,-111.89105,UHS : 77.13720140706062<br>Checkins :7.694338 million<br>Locations : 339,Salt Lake City,Salt Lake City,0.19118,"City : Salt Lake City, Utah<br>UHS : 77.13720140706062<br>Population :0.19118 million"
386,"Bend, Oregon",652093,331,1920388,77.12941343103581,41.68338,-86.25001,UHS : 77.12941343103581<br>Checkins :1.920388 million<br>Locations : 331,Bend,Bend,0.081236,"City : Bend, Oregon<br>UHS : 77.12941343103581<br>Population :0.081236 million"
387,"Pawtucket, Rhode Island",174661,368,925187,77.10906011433364,41.87871,-71.38256,UHS : 77.10906011433364<br>Checkins :0.925187 million<br>Locations : 368,Pawtucket,Pawtucket,0.071172,"City : Pawtucket, Rhode Island<br>UHS : 77.10906011433364<br>Population :0.071172 million"
388,"Pleasanton, California",307935,304,794273,77.09767296634784,37.66243,-121.87468,UHS : 77.09767296634784<br>Checkins :0.794273 million<br>Locations : 304,Pleasanton,Pleasanton,0.07411,"City : Pleasanton, California<br>UHS : 77.09767296634784<br>Population :0.07411 million"
389,"Bryan, Texas",241045,301,621116,76.98948344592637,31.938270000000003,-81.30344000000001,UHS : 76.98948344592637<br>Checkins :0.621116 million<br>Locations : 301,Bryan,Bryan,0.078709,"City : Bryan, Texas<br>UHS : 76.98948344592637<br>Population :0.078709 million"
390,"Edmond, Oklahoma",343355,384,1289959,76.98306690367679,35.65283,-97.4781,UHS : 76.98306690367679<br>Checkins :1.289959 million<br>Locations : 384,Edmond,Edmond,0.087004,"City : Edmond, Oklahoma<br>UHS : 76.98306690367679<br>Population :0.087004 million"
391,"Honolulu, Hawaii",3479851,339,7924798,76.86681729931792,21.30694,-157.85833,UHS : 76.86681729931792<br>Checkins :7.924798 million<br>Locations : 339,Honolulu,Honolulu,0.347884,"City : Honolulu, Hawaii<br>UHS : 76.86681729931792<br>Population :0.347884 million"
392,"Tacoma, Washington",976496,337,3542315,76.78887958863059,47.25288,-122.44429,UHS : 76.78887958863059<br>Checkins :3.542315 million<br>Locations : 337,Tacoma,Tacoma,0.203446,"City : Tacoma, Washington<br>UHS : 76.78887958863059<br>Population :0.203446 million"
393,"Fremont, California",649893,328,1693855,76.77847277364356,43.04053,-108.63042,UHS : 76.77847277364356<br>Checkins :1.693855 million<br>Locations : 328,Fremont,Fremont,0.224922,"City : Fremont, California<br>UHS : 76.77847277364356<br>Population :0.224922 million"
394,"Duluth, Minnesota",647688,321,2116546,76.75944675901208,46.78327,-92.10658000000001,UHS : 76.75944675901208<br>Checkins :2.116546 million<br>Locations : 321,Duluth,Duluth,0.086128,"City : Duluth, Minnesota<br>UHS : 76.75944675901208<br>Population :0.086128 million"
395,"Columbia, South Carolina",1218524,367,4138539,76.74606908379987,34.00071,-81.03481,UHS : 76.74606908379987<br>Checkins :4.138539 million<br>Locations : 367,Columbia,Columbia,0.133358,"City : Columbia, South Carolina<br>UHS : 76.74606908379987<br>Population :0.133358 million"
397,"Avondale, Arizona",34215,331,443220,76.61951175488471,33.4356,-112.3496,UHS : 76.61951175488471<br>Checkins :0.44322 million<br>Locations : 331,Avondale,Avondale,0.078822,"City : Avondale, Arizona<br>UHS : 76.61951175488471<br>Population :0.078822 million"
398,"Allen, Texas",275864,377,1465018,76.59550940671036,40.74255,-84.10523,UHS : 76.59550940671036<br>Checkins :1.465018 million<br>Locations : 377,Allen,Allen,0.09202,"City : Allen, Texas<br>UHS : 76.59550940671036<br>Population :0.09202 million"
399,"Rio Rancho, New Mexico",30134,276,332341,76.55510454623415,35.23338,-106.66447,UHS : 76.55510454623415<br>Checkins :0.332341 million<br>Locations : 276,Rio Rancho,Rio Rancho,0.091956,"City : Rio Rancho, New Mexico<br>UHS : 76.55510454623415<br>Population :0.091956 million"
400,"Mountain View, California",516361,302,1383640,76.51961492873869,37.38605,-122.08385,UHS : 76.51961492873869<br>Checkins :1.38364 million<br>Locations : 302,Mountain View,Mountain View,0.077846,"City : Mountain View, California<br>UHS : 76.51961492873869<br>Population :0.077846 million"
401,"Lynn, Massachusetts",184435,299,766208,76.49802664550617,42.46676,-70.94949,UHS : 76.49802664550617<br>Checkins :0.766208 million<br>Locations : 299,Lynn,Lynn,0.091589,"City : Lynn, Massachusetts<br>UHS : 76.49802664550617<br>Population :0.091589 million"
402,"Mission, Texas",289983,347,918111,76.4931473427505,33.60002,-117.67200000000001,UHS : 76.4931473427505<br>Checkins :0.918111 million<br>Locations : 347,Mission,Mission,0.08105,"City : Mission, Texas<br>UHS : 76.4931473427505<br>Population :0.08105 million"
403,"Tampa, Florida",3684683,356,12479918,76.46008571530678,27.94752,-82.45843,UHS : 76.46008571530678<br>Checkins :12.479918 million<br>Locations : 356,Tampa,Tampa,0.352957,"City : Tampa, Florida<br>UHS : 76.46008571530678<br>Population :0.352957 million"
404,"Dayton, Ohio",795790,325,2400517,76.43474301577535,39.75895,-84.19161,UHS : 76.43474301577535<br>Checkins :2.400517 million<br>Locations : 325,Dayton,Dayton,0.143355,"City : Dayton, Ohio<br>UHS : 76.43474301577535<br>Population :0.143355 million"
