pg16328.txt  0.000023  0.000023  0.000023  0.000090  0.000023    0.000023   

                  5th         6        60       60s        61       62  \
11-0.txt          NaN  0.000034  0.000034       NaN       NaN      NaN   
84-0.txt     0.000026  0.000026  0.000013       NaN       NaN      NaN   
1342-0.txt        NaN  0.000016  0.000016       NaN  0.000008      NaN   
1661-0.txt        NaN  0.000028  0.000018  0.000009       NaN      NaN   
1952-0.txt        NaN       NaN  0.000108       NaN       NaN      NaN   
pg16328.txt       NaN  0.000429  0.000925       NaN  0.000090  0.00009   

              6221541        63       630        64        65        66  \
11-0.txt     0.000034       NaN       NaN  0.000034       NaN       NaN   
84-0.txt     0.000013       NaN       NaN  0.000013       NaN       NaN   
1342-0.txt   0.000008       NaN       NaN  0.000008       NaN       NaN   
1661-0.txt   0.000009       NaN  0.000009  0.000009       NaN       NaN   
1952-0.txt   0.000108       NaN       NaN  0.000108       NaN       NaN   
pg16328.txt  0.000023  0.000068       NaN  0.000090  0.000722  0.000068   

                   67        68       69       6he  6leaders         7  \
11-0.txt          NaN       NaN      NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN      NaN       NaN       NaN  0.000026   
1342-0.txt        NaN       NaN      NaN       NaN       NaN  0.000008   
1661-0.txt        NaN       NaN      NaN       NaN       NaN  0.000018   
1952-0.txt        NaN       NaN      NaN       NaN       NaN  0.000108   
pg16328.txt  0.000045  0.000023  0.00009  0.000023  0.000023  0.000429   

                   70       700       703        71       711        72  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
1342-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1661-0.txt        NaN  0.000009       NaN       NaN       NaN       NaN   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000542       NaN  0.000023  0.000068  0.000045  0.000023   

                  721        73       739        74       749        75  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
1342-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1661-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000023  0.000068  0.000023  0.000023  0.000023  0.000406   

                  750    750175        76        77       771        78  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
1342-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1661-0.txt   0.000009  0.000009       NaN  0.000009       NaN       NaN   
