FolderName,MolFileName,CompoundId,CompundFormula,Inchi,InchiKey,CIDSmiles,Isomericsmiles,URL
_C06804_2.1.1.212,_C06804_2.1.1.212_product_1.mol,5827,C9H11NO2,"InChI=1S/C9H11NO2/c1-7(11)10-8-3-5-9(12-2)6-4-8/h3-6H,1-2H3,(H,10,11)",XVAIDCNLVLTVFM-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC,CC(=O)NC1=CC=C(C=C1)OC,https://pubchem.ncbi.nlm.nih.gov/compound/5827
_C06804_1.14.99.47,_C06804_1.14.99.47_product_1.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
_C06804_1.14.99.47,_C06804_1.14.99.47_product_2.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
_C06804_1.13.11.48,_C06804_1.13.11.48_product_1.mol,,,,,,,
_C06804_1.13.11.48,_C06804_1.13.11.48_product_2.mol,,,,,,,
_C06804_1.13.11.48,_C06804_1.13.11.48_product_3.mol,977,O2,InChI=1S/O2/c1-2,MYMOFIZGZYHOMD-UHFFFAOYSA-N,O=O,O=O,https://pubchem.ncbi.nlm.nih.gov/compound/977
_C06804_2.8.2.15,_C06804_2.8.2.15_product_1.mol,83939,C8H9NO5S,"InChI=1S/C8H9NO5S/c1-6(10)9-7-2-4-8(5-3-7)14-15(11,12)13/h2-5H,1H3,(H,9,10)(H,11,12,13)",IGTYILLPRJOVFY-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)O,CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/83939
_C06804_2.7.12.1,_C06804_2.7.12.1_product_1.mol,10176997,C8H10NO5P,"InChI=1S/C8H10NO5P/c1-6(10)9-7-2-4-8(5-3-7)14-15(11,12)13/h2-5H,1H3,(H,9,10)(H2,11,12,13)",PSQWZQGQIUGIRU-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OP(=O)(O)O,CC(=O)NC1=CC=C(C=C1)OP(=O)(O)O,https://pubchem.ncbi.nlm.nih.gov/compound/10176997
_C06804_1.14.13.21,_C06804_1.14.13.21_product_1.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
_C06804_1.14.13.21,_C06804_1.14.13.21_product_2.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
